"aeroport","centralite"
"REC-Recife",324
"JJN-Quanzhou",324
"FOR-Fortaleza",324
"BTS-Bratislava",324
"FKB-Karlsruhe/Baden-Baden",324
"ROC-Rochester",324
"DRS-Dresden",324
"MDE-Rio Negro",324
"YCU-Yuncheng",324
"ORF-Norfolk",323
"AER-Sochi",306
"BGI-Bridgetown",306
"PGD-Punta Gorda",306
"FIH-Kinshasa",304
"PVD-Providence",289
"SDR-Santander",289
"GOA-Genoa",289
"BAV-Baotou",289
"TRV-Trivandrum",289
"SCO-Aktau",289
"PSP-Palm Springs",289
"PEW-Peshawar",289
"PRN-Pristina",289
"BTH-Batam",289
"AMD-Ahmedabad",289
"MJV-Murcia",289
"BOH-Bournemouth",289
"TYS-Knoxville",289
"BEL-Belem",289
"TFN-Tenerife",289
"DSM-Des Moines",289
"CCJ-Calicut",288
"EBB-Entebbe",285
"KGL-Kigali",272
"PDL-Ponta Delgada",272
"LIT-Little Rock",272
"ADE-Aden",270
"BKO-Bamako",256
"VTE-Vientiane",256
"FEZ-Fes",256
"LPB-La Paz",256
"REU-Reus",256
"BOI-Boise",256
"LWO-Lvov",256
"DAY-Dayton",256
"SYR-Syracuse",256
"MRV-Mineralnye Vody",256
"LUN-Lusaka",252
"LBV-Libreville",240
"OME-Nome",240
"MIG-Mianyang",240
"TUS-Tucson",240
"XRY-Jerez",225
"LXA-Lhasa",225
"VVO-Vladivostok",225
"HPN-White Plains",225
"LIR-Liberia",225
"BMA-Stockholm",225
"NOC-Connaught",225
"GOJ-Nizhniy Novgorod",225
"PNH-Phnom-penh",225
"SAP-San Pedro Sula",225
"OMS-Omsk",225
"RAI-Praia, Santiago Island",225
"MPM-Maputo",225
"BHY-Beihai",225
"YXL-Sioux Lookout",224
"OUA-Ouagadougou",210
"GCI-Guernsey",210
"LEI-Almeria",210
"BOO-Bodo",210
"SDJ-Sendai",210
"ONT-Ontario",210
"CEK-Chelyabinsk",196
"GSO-Greensboro",196
"YIW-Yiwu",196
"LFW-Lome",196
"KCH-Kuching",196
"SEN-Southend",196
"IFN-Esfahan",196
"TTN-Trenton",196
"BPN-Balikpapan",196
"XNA-Bentonville",196
"YIH-Yichang",196
"LYI-Linyi",196
"JNU-Juneau",196
"PMV-Porlamar",196
"KBL-Kabul",195
"PUY-Pula",182
"RNO-Reno",182
"ULN-Ulan Bator",182
"JOG-Yogyakarta",169
"OSS-Osh",169
"LEX-Lexington KY",169
"SAV-Savannah",169
"GMP-Seoul",169
"LZH-Liuzhou",169
"BGW-Baghdad",169
"YTZ-Toronto",169
"ZHA-Zhanjiang",169
"SJJ-Sarajevo",169
"BWN-Bandar Seri Begawan",169
"ZYI-Zunyi",169
"DUR-Durban",169
"AAL-Aalborg",169
"MHT-Manchester NH",169
