"aeroport","centralite"
"DED-Dehra Dun",4
"YOJ-Yancheng",4
"MJM-Mbuji-mayi",4
"RHI-Rhinelander",4
"BDH-Bandar Lengeh",4
"EWN-New Bern",4
"SFG-St. Martin",4
"ALS-Alamosa",4
"VKT-Vorkuta",4
"SGU-Saint George",4
"PJA-Pajala",4
"RNL-Rennell Island",4
"PKY-Palangkaraya",4
"VQS-Vieques Island",4
"CNP-Neerlerit Inaat",4
"SVS-Sevilla",4
"BKS-Bengkulu",4
"AXD-Alexandroupolis",4
"XSB-Sir Bani Yas Island",4
"WMO-White Mountain",4
"CFN-Dongloe",4
"SGO-St George",4
"BRO-Brownsville",4
"BRD-Brainerd",4
"JTY-Astypalaia",4
"WIC-Wick",4
"RBV-Ramata",4
"RVV-Raivavae",4
"YUX-Hall Beach",4
"CMI-Champaign",4
"UBP-Ubon Ratchathani",4
"KRF-Kramfors",4
"KWT-Kwethluk",4
"BXU-Butuan",4
"PPP-Prosserpine",4
"JNS-Narsaq",4
"BFI-Seattle",4
"HZH-Liping",4
"JKG-Joenkoeping",4
"YIK-Yichang",4
"CXI-Kiritimati",4
"YZG-Yellowknife",4
"BYC-Yacuiba",4
"CFS-Coff's Harbour",4
"FRW-Francistown",4
"DUJ-Du Bois",4
"RZR-Ramsar",4
"DEB-Debrecen",4
"CLL-College Station",4
"BVI-Birdsville",4
"ZLT-La Tabatière",4
"DRG-Deering",4
"DAV-David",4
"BNC-Beni",4
"PPK-Petropavlosk",4
"ORH-Worcester",4
"PHS-Phitsanulok",4
"YWB-Vancouver",4
"ART-Watertown",4
"PBL-Puerto Cabello",4
"STG-Point Barrow",4
"MPH-Caticlan",4
"AUU-Aurukun",4
"MGB-Mount Gambier",4
"BNI-Benin",4
"DHB-Dumaguete",4
"PDP-Punta del Este",4
"CJL-Chitral",4
"RMI-Rimini",4
"KEJ-Kemorovo",4
"QRW-Queretaro",4
"CPV-Campina Grande",4
"ONQ-Zonguldak",4
"ANV-Anvik",4
"WIN-Winton",4
"UAS-Samburu South",4
"BFD-Bradford",4
"TSJ-Tsushima",4
"XSC-South Caicos",4
"SDN-Sandane",4
"SWJ-Malekula Island",4
"HFS-Hagfors",4
"ZHY-Zhongwei",4
"UIH-Phucat",4
"HLA-Johannesburg",4
"RMT-Rimatara",4
"LPI-Linkoeping",4
"MME-Teesside",4
"APN-Alpena",4
"PZH-Zhob",4
"MOV-Moranbah",4
"EEK-Eek",4
"YAP-Yap",4
"SZE-Kuala Lumpur",4
"OTH-North Bend",4
"ARU-Aracatuba",4
"BPX-Bangda",4
"LAQ-Al Bayda'",4
"ZTB-Tête-à-la-Baleine",4
"MKM-Mukah",4
"SXP-Sao Felix do Araguaia",4
"SJK-Sao Jose Dos Campos",4
"AKI-Akiak",4
"KDI-Kendari",4
"NNT-Nan",4
"YTE-Cape Dorset",4
"HEK-Heihe",4
"AUK-Alakanuk",4
"YWJ-Deline",4
"LSE-La Crosse",4
"LBJ-Labuhan Bajo",4
"NOZ-Novokuznetsk",4
"ZKE-Zihuatanejo",4
"VCL-Chu Lai",4
"YRG-Rigolet",4
"SNW-Thandwe",4
"AAN-Al Ain",4
"NDU-Rundu",4
"SGY-Skagway",4
"LOH-La Toma (Catamayo)",4
"LMT-Klamath Falls",4
"HPH-Haiphong",4
"HRO-Harrison",4
"NTN-Normanton",4
"MJD-Moenjodaro",4
"WNR-Windorah",4
"ZPB-Osorno",4
"YSY-Postville",4
"DYR-Anadyr",4
"PAG-Pagadian",4
"YGV-Havre-Saint-Pierre",4
"MOU-Mountain Village",4
"SMR-Santa Marta",4
"PEU-Puerto Lempira",4
"ACI-Alderney",4
"JSU-Maniitsoq",4
"ALH-Albany",4
"EDR-Pormpuraaw",4
"YXP-Pangnirtung",4
"VEE-Venetie",4
"OCC-Coca",4
"YIN-Yining",4
"ULK-Lensk",4
"IAN-Kiana",4
"KSJ-Kasos",4
"LZY-Nyingchi",4
"MTR-Monteria",4
"HAA-Hasvik",4
"ZUM-Zhuhai",4
"BJZ-Badajoz",4
"DJB-Jambi",4
"RDN-Redang",4
"AGF-Agen",4
"MJN-Mahajanga",4
"JHW-Jamestown",4
"FRS-Flores",4
"JUV-Upernavik",4
"BBN-Bario",4
"GTO-Gorontalo",4
"TKK-Chuuk",4
"PSO-Pasto",4
"LTX-Latacunga",4
"CLV-Caldas Novas",4
"DWD-Dawadmi",4
"AJI-Agri",4
"DQA-Denpasar",4
"AOO-Altoona",4
"CRA-Craiova",4
"DEC-Decatur",4
"GAE-Gabes",4
"JBQ-La Isabela",4
"BAX-Barnaul",4
"YZY-Mackenzie British Columbia",4
"KSA-Kosrae",4
"LCK-Columbus",4
"KIF-Kristianstad",4
"KDO-Laamu Atoll",4
"IXU-Aurangabad",4
"TUO-Taupo",4
"OZC-Ozamis",4
"WKJ-Wakkanai",4
"YAT-Yap",4
"PIZ-Point Lay",4
"AGH-Ängelholm",4
"MMU-Maio",4
"XQP-Quepos",4
"TME-Tame",4
"USK-Usinsk",4
"ELG-El Golea",4
"LCH-Lake Charles",4
"HUX-Huatulco",4
"CSY-Cheboksary",4
"TYF-Torsby",4
"ODN-Long Seridan",4
"KNS-King Island",4
"KWJ-Kwangju",4
"STC-Saint Cloud",4
"MHK-Manhattan",4
"LOD-Longana",4
"WRY-Westray",4
"NSH-Noshahr",4
"LRT-Lorient",4
"JDH-Jodhpur",4
"YNC-Yenbo",4
"FTA-Futuna Island",4
"CHG-Chaoyang",4
"BKC-Buckland",4
"ATT-Amritsar",4
"SVI-San Vincente De Caguan",4
"LBL-Liberal",4
"HBX-Hubli",4
"KOK-Kruunupyy",4
"COU-Columbia",4
"MGW-Morgantown",4
"LAU-Lamu",4
"PHC-Port Hartcourt",4
"BDQ-Baroda",4
"SZA-Soyo",4
"WRE-Whangarei",4
"UBJ-Yamaguchi",4
"NAQ-Qaanaaq",4
"DZN-Zhezkazgan",4
"AQI-Hafr Al-batin",4
"WAT-Waterford",4
"SMX-Santa Maria",4
"JFR-Paamiut",4
"YOP-Yola",4
"KKC-Khon Kaen",4
"SMK-St. Michael",4
"LDS-Yinchun",4
"TLT-Toulouse",4
"YZT-Port Hardy",4
"YHO-Hopedale",4
"ATK-Atqasuk",4
"HRM-Tilrempt",4
"KCT-Koggala",4
"OPS-Sinop",4
"YCL-Castlegar",4
"XCH-Christmas Island",4
"ISN-Williston",4
"IRG-Lockhart River",4
"KBU-Kota Bahru",4
"MLG-Malang",4
"BUC-Burketown",4
"YYB-North Bay",4
"PGX-Perigueux",4
"VXC-Lichinga",4
"BTI-Barter Island",4
"LPM-Lamap",4
"SOY-Stronsay",4
"VCS-Conson",4
"OOK-Toksook Bay",4
"HNH-Hoonah",4
"ACR-Araracuara",4
"TJQ-Tanjung Pandan",4
"IVC-Invercargill",4
"YHP-Hopedale",4
"WSX-South Naknek",4
"CUE-Cuenca",4
"BYN-Bayankhongor",4
"CIK-Cobija",4
"SUG-Sangley Point",4
"CMA-Cunnamulla",4
"VAK-Chevak",4
"KGX-Kos",4
"GAM-Gambell",4
"YXX-Abbotsford",4
"FTU-Tolagnaro",4
"PPQ-Paraparaumu",4
"DGT-Dumaguete",4
"UVE-Ouvea",4
"AVN-Avignon",4
"JST-Johnstown",4
"ZYL-Sylhet Osmani",4
"OWB-Owensboro",4
"LBS-Lambasa",4
"MEG-Malanje",4
"MYG-Mayaguana",4
"NAV-Nevsehir",4
"YQU-Grande Prairie",4
"YUM-Yuma",4
"USN-Ulsan",4
"AJF-Al-Jawf",4
"MQF-Magnetiogorsk",4
"KND-Kindu",4
"RGA-Rio Grande",4
"ADF-Adiyaman",4
"YQC-Quebec",4
"HUI-Hue",4
"SIT-Sitka",4
"TMC-Waikabubak-Sumba Island",4
"ULP-Quilpie",4
"YCG-Castlegar",4
"YCD-Nanaimo",4
"TPQ-Tepic",4
"YWP-Williams Lake",4
"IGD-Matthew Town",4
"ZAT-Zhaotong",4
"QOW-Imo",4
"IPC-Easter Island",4
"XCR-Chalons",4
"AKF-Kufra",4
"HJJ-Zhijiang",4
"BOY-Bobo-dioulasso",4
"PBJ-Paama Island",4
"SHB-Nakashibetsu",4
"YAK-Yakutat",4
"SLI-Solwesi",4
"GOQ-Golmud",4
"DAB-Daytona Beach",4
"GOU-Garoua",4
"MUN-Maturin",4
"SKX-Saransk",4
"ZAL-Valdivia",4
"CYS-Cheyenne",4
"CAP-Cap Haitien",4
"LGP-Legazpi",4
"CME-Ciudad Del Carmen",4
"YGP-Gaspe",4
"AGT-Ciudad del Este",4
"BEB-Benbecula",4
"PZI-Zhob",4
"MCY-Maroochydore",4
"MVT-Mataiva",4
"CVU-Corvo",4
"LKH-Long Akah",4
"LYR-Svalbard",4
"BQL-Boulia",4
"ABL-Ambler",4
"MLW-Monrovia",4
"NNB-Santa Ana",4
"ASE-Aspen",4
"SHH-Shishmaref",4
"RNA-Ulawa",4
"KRN-Kiruna",4
"KDV-Vunisea",4
"SNE-Sao Nocolau Island",4
"BUX-Bunia",3
"LKL-Lakselv",3
"VAO-Suavanao",3
"MIS-Misima Island",2
"KIS-Kisumu",2
"LOK-Lodwar",2
"BMY-Waala",2
"EOI-Eday",2
"DJG-Djanet",2
"TNK-Tanjung Pinang",2
"KOZ-Ganzhou",2
"FON-La Fortuna/San Carlos",2
"HOI-Hao Island",2
"GMB-Gambella",2
"GAF-Gafsa",2
"TMU-Nicoya",2
"BKW-Beckley",2
"YVZ-Vancouver",2
"ORI-Worcester",2
"QBC-Bella Coola",2
"SAB-Saba",2
"FLS-Flinders Island",2
"VLL-Valladolid",2
"KUK-Kasigluk",2
"TID-Tiaret",2
"OIA-Ourilandia do Norte",2
"MRE-Masai Mara",2
"MLL-Marshall",2
"UAQ-San Julian",2
"CHY-Choiseul Bay",2
"OBU-Kobuk",2
"FRE-Fera Island",2
"WTK-Noatak",2
"SCM-Scammon Bay",2
"KEM-Kemi",2
"POJ-Patos de Minas",2
"LUQ-San Luis",2
"ZBF-Bathurst",2
"AIT-Aitutaki",2
"ASO-Asosa",2
"SMA-Santa Maria (island)",2
"JYV-Jyvaskyla",2
"AIU-Atiu Island",2
"NUP-Nulato",2
"RVT-Ravensthorpe",2
"AMH-Arba Minch",2
"JIM-Jimma",2
"RIG-Richmond",2
"CKD-Clarksburg",2
"CUQ-Coen",2
"PMZ-Palmar Sur",2
"NME-Nightmute",2
"SHG-Shungnak",2
"TFI-Tefe",2
"SHD-Weyers Cave",2
"SPD-Saidpur",2
"WTL-Noatak",2
"EPR-Esperance",2
"BJR-Bahar Dar",2
"LUV-Langgur-Kei Islands",2
"YYU-Kapuskasing",2
"MUW-Ghriss",2
"ZIG-Ziguinchor",2
"CCK-Cocos Keeling Island",1
"LEN-Leon",1
"IKS-Tiksi",1
"AAT-Aarhus",1
"OLF-Wolf Point",1
"KAT-Kaitaia",1
"PPG-Pago Pago",1
"KKR-Kaukura Atoll",1
"CTM-Chetumal",1
"OMO-Mostar",1
"HVR-Havre",1
"BXB-Babo",1
"CZH-Coro",1
"WGP-Waingapu",1
"MSZ-Mocamedes",1
"KVK-Apatity",1
"POG-Port Gentil",1
"TRE-Tiree",1
"ARM-Armidale",1
"PHW-Phalaborwa",1
"VUS-Valledupar",1
"NOB-Nosara Beach",1
"HOM-Homer",1
"ZOS-Osorno",1
"VRC-Virac",1
"ABS-Abu Simbel",1
"ICI-Cicia",1
"HMV-Hemavan",1
"WYA-Whyalla",1
"JLN-Joplin",1
"ELU-Guemar",1
"NVA-Neiva",1
"OSW-Orsk",1
"OBY-Ittoqqortoormiit",1
"SAX-Istanbul",1
"EUX-Oranjestad",1
"HUU-Huánuco",1
"TKP-Takapoto",1
"SOM-San Tome",1
"CUM-Cumana",1
"THS-Sukhothai",1
"ELL-Elim",1
"TTU-Tetouan",1
"SRV-Sarasota",1
"KPB-Ganzhou",1
"BKM-Bakalalan",1
"UMD-Uummannaq",1
"GAO-Guantanamo",1
"OST-Ostend",1
"EAR-Nejran",1
"AEY-Akureyri",1
"TBW-Tambow",1
"CPC-San Martin Des Andes",1
"MEB-Melbourne",1
"RGK-Gorno-Altaysk",1
"BTM-Butte",1
"EJH-Wejh",1
"ESL-Elista",1
"TCT-Tacna",1
"OLC-Sao Paulo de Olivenca",1
"RKD-Rockland",1
"TCG-Tacheng",1
"MRZ-Moree",1
"ESC-Escanaba",1
"CMG-Corumba",1
"YOL-Yola",1
"ASV-Amboseli National Park",1
"LQM-Puerto Leguízamo",1
"RRG-Rodriguez Island",1
"SLK-Saranac Lake",1
"KUO-Kuopio",1
"KGT-Kos",1
"PBO-Paraburdoo",1
"DIU-Diu",1
"BHJ-Bhuj",1
"PIB-Hattiesburg/Laurel",1
"SUJ-Satu Mare",1
"PIN-Parintins",1
"SIC-Sinop",1
"GTR-Columbus Mississippi",1
"CYZ-Cauayan",1
"OER-Ornskoldsvik",1
"RDV-Raleigh-durham",1
"AGN-Angoon",1
"WBM-Wapenamanda",1
"WEI-Weipa",1
"PZB-Pietermaritzburg",1
"MQH-Minacu",1
"BDU-Bardufoss",1
"PXM-Puerto Escondido",1
"MKP-Makemo",1
"KCC-Kuqa",1
"SVC-Sambava",1
"MUE-Kamuela",1
"CIU-Sault Ste Marie",1
"YJT-Yiwu",1
"CSH-Solovetsky Islands",1
"ARC-Arctic Village",1
"RSA-Santa Rosa",1
"VKG-Rach Gia",1
"DCY-Derby",1
"BHU-Bhaunagar",1
"CEZ-Cortez",1
"YPC-Ottawa",1
"ARK-Arusha",1
"DHM-Kangra",1
"JBR-Jonesboro",1
"PXO-Porto Santo",1
"MSS-Massena",1
"OLH-Wolf Point",1
"KVC-King Cove",1
"YZP-Sandspit",1
"ABM-Amberley",1
"FLO-Florence",1
"KFS-Kastamonu",1
"KTE-Kerteh",1
"OLP-Olympic Dam",1
"PVE-Providence",1
"SXK-Saumlaki",1
"LEH-Le Havre",1
"KZR-Kutahya",1
"JQE-Jaqué",1
"ULG-Olgii",1
"PVA-Providencia",1
"RES-Resistencia",1
"YLC-Kimmirut",1
"AOS-Alor Setar",1
"IRK-Kirksville",1
"CHU-Charleston",1
"DIW-Diu",1
"OGS-Ogdensburg",1
"GVR-Governador Valadares",1
"CIP-Chipata",1
"BRR-Barra",1
"TBP-Tumbes",1
"MHG-Mannheim",1
"TOG-Togiak Village",1
"BKZ-Bukoba",1
"VCT-Victoria",1
"MGT-Milingimbi",1
"WSN-South Naknek",1
"GCK-Garden City",1
"LOE-Loei",1
"RNN-Ronne",1
"ACZ-Zabol",1
"TMW-Tamworth",1
"CED-Ceduna",1
"DND-Dundee",1
"YIE-Arxan",1
"EGS-Egilsstadir",1
"THD-Tuxtla Gutierrez",1
"BSC-Bahia Solano",1
"MOD-Modesto",1
"CIZ-Coari",1
"IRZ-Santa Isabel do Rio Negro",1
"TEE-Tebessa",1
"LZC-Lazard Cardenas",1
"EGN-Geneina",1
"VLS-Valesdir",1
"VLV-Valera",1
"GDZ-Gelendzhik",1
"ELF-El Fasher",1
"UNN-Ranong",1
"KDU-Skardu",1
"MLO-Milos",1
"GRV-Grozny",1
"WMR-Mananara",1
"LBF-North Platte",1
"TAY-Tartu",1
"ADK-Adak Island",1
"PRH-Phrae",1
"YLE-Whatì",1
"GHT-Ghat",1
"VUP-Valledupar",1
"MVR-Maroua",1
"ELV-Elfin Cove",1
"ZKG-Kegaska",1
"IAA-Igarka",1
"FJR-Fujeirah",1
"BAZ-Barcelos",1
"WMX-Wamena",1
"UEO-Kumejima",1
"TNW-Antananarivo",1
"ZMT-Masset",1
"OKL-Oksibil",1
"AFL-Alta Floresta",1
"EXI-Newark",1
"IZO-Izumo",1
"KHS-Khasab",1
"MYU-Mekoryuk",1
"WWT-Wewak",1
"RCH-Rio Hacha",1
"TUC-Tucuman",1
"LXG-Luang Namtha",1
"AAY-Al Ghaidah Intl",1
"SDG-Sanandaj",1
"SFN-Santa Fe",1
"DOL-Deauville",1
"SLN-Salina",1
"ODO-Bodaibo",1
"YSG-Lutselk'e",1
"BVB-Boa Vista",1
"SJL-Sao Gabriel",1
"BDB-Bundaberg",1
"VGA-Vijayawada",1
"DHI-Dhangarhi",1
"RVD-Rio Verde",1
"SDY-Sidney",1
"TQL-Tarko-Sale",1
"MBI-Mbeya",1
"CEM-Chelyabinsk",1
"OLA-Orland",1
"PJG-Panjgur",1
"KAO-Kuusamo",1
"CDC-Cedar City",1
"JOL-Jolo",1
"QUB-Setif",1
"MTS-Manzini",1
"NYI-Nyagan",1
"IRP-Isiro",1
"ENA-Kenai",1
"KME-Kamembe",1
"NAJ-Nakhchivan",1
"WLH-Walaha",1
"ACT-Waco",1
"TBN-Fort Leonardwood",1
"NQU-Nuquí",1
"KHD-Khorram Abad",1
"BZL-Barisal",1
"IKI-Iki",1
"YRA-Gamètì",1
"RDD-Redding",1
"MSU-Maseru",1
"RMP-Rimini",1
"WNP-Naga",1
"RRS-Roros",1
"JGA-Jamnagar",1
"AHN-Athens",1
"KEW-Kengtung",1
"NAW-Narathiwat",1
"DHN-Dothan",1
"AXK-Ataq",1
"LYH-Lynchburg",1
"KAW-Kawthoung",1
"KUU-Kulu",1
"ATD-Atoifi",1
"ITB-Itaituba",1
"MAZ-Mayaguez",1
"NTQ-Wajima",1
"RIW-Riverton WY",1
"CNY-Moab",1
"MTT-Minatitlan",1
"GNM-Guanambi",1
"TGI-Tingo Maria",1
"OBO-Obihiro",1
"MAQ-Tak",1
"YPW-Powell River",1
"NLT-Xinyuan",1
"LKG-Lokichoggio",1
"KUV-Kunsan",1
"PFQ-Parsabad",1
"BFQ-Bloemfontein",1
"BJI-Bemidji",1
"LPY-Le Puy",1
"SNV-Santa Ana De Uairen",1
"PTG-Potgietersrus",1
"HJR-Khajuraho",1
"POI-Potosi",1
"PMY-Puerto Madryn",1
"IGG-Igiugig",1
"MKQ-Merauke",1
"LUH-Ludhiaha",1
"AFZ-Sabzevar",1
"AUR-Aurillac",1
"JAL-Jalapa",1
"MBE-Monbetsu",1
"LFR-La Fria",1
"CZU-Corozal",1
"MNT-Manila",1
"MRD-Merida",1
"RSD-Rock Sound",1
"URE-Kuressaare",1
"IFO-Ivano-Frankivsk",1
"IIL-Ilam",1
"JSI-Skiathos",1
"RCM-Richmond",1
"PDT-Pendleton",1
"SML-Stella Maris",1
"SSR-Pentecost Island",1
"LCX-Longyan",1
"KOO-Kongolo",1
"BHB-Bar Harbor",1
"BNS-Barinas",1
"MPN-Mount Pleasant",1
"LUR-Cape Lisburne",1
"IPH-Ipoh",1
"PQI-Presque Isle",1
"CMU-Kundiawa",1
"RUA-Arua",1
"YZR-Sarnia",1
"SSY-M'banza-congo",1
"LWN-Gyumri",1
"LGQ-Legazpi",1
"ILI-Iliamna",1
"TTQ-Roxana",1
"CPX-Culebra Island",1
"LPT-Lampang",1
"CVM-Ciudad Victoria",1
"TGR-Touggourt",1
"KOS-Sihanoukville",1
"TNJ-Tanjung Pinang",1
"YNY-Sokcho / Gangneung",1
"RGS-Burgos",1
"TKS-Tokushima",1
"SHL-Shillong",1
"IWK-Iwami",1
"GIL-Gilgit",1
"ATC-Arthur's Town",1
"YVM-Broughton Island",1
"PYC-Pleiku",1
"KLL-Kalskag",1
"TLJ-Tallahassee",1
"KPV-Perryville",1
"SHC-Nakashibetsu",1
"OGD-Ogden",1
"DCN-Derby",1
"YQL-Lethbridge",1
"GLO-Golouchestershire",1
"UIN-Quincy",1
"ENH-Enshi",1
"NRK-Norrkoeping",1
"GPB-Guarapuava",1
"RAJ-Rajkot",1
"THN-Trollhattan",1
"KZS-Kastelorizo",1
"SDE-Santiago Del Estero",1
"MBL-Montego Bay",1
"PAF-Pakuba",1
"FUO-Funafuti",1
"PYY-Pai",1
"BWA-Bhairawa",1
"PKR-Pokhara",1
"CAJ-Canaima",1
"AHU-Al Hociema",1
"CKZ-Canakkale",1
"ILD-Lleida",1
"LEQ-Land's End",1
"GRP-Gurupi",1
"MJU-Mytilini",1
"HKK-Hokitika",1
"UKX-Ust-Kut",1
"PBU-Putao",1
"AOE-Eskissehir",1
"SKE-Skien",1
"IVL-Ivalo",1
"BUN-Buenaventura",1
"HDM-Hamadan",1
"YGK-Kingston",1
"XMS-Macas",1
"VGZ-Villa Garzon",1
"YES-Yasuj",1
"IRC-Kirakira",1
"YPL-Ottawa",1
"KYZ-Kyzyl",1
"GMA-Gemena",1
"BHR-Bharatpur",1
"EDO-Balikesir Korfez",1
"CPE-Campeche",1
"CGM-Camiguin",1
"GMZ-La Gomera",1
"HOB-Hobbs",1
"CXB-Cox's Bazar",1
"MEI-Meridian",1
"LAR-Laramie",1
"MAM-Matamoros",1
"CSK-Cap Skiring",1
"CLM-Port Angeles",1
"MDU-Mendi",1
"SUR-Satu Mare",1
"TGC-Tenerife",1
"GMR-Totegegie",1
"MHC-Castro",1
"ELC-Elcho Island",1
"ANR-Antwerp",1
"ANG-Angouleme",1
"LNS-Lancaster",1
"GDV-Glendive",1
"VEL-Vernal",1
"XTG-Thargomindah",1
"GHE-Governor's Harbor",1
"YOG-Yancheng",1
"EAE-Sangafa",1
"WAG-Wanganui",1
"PAS-Paros",1
"PSM-Portsmouth",1
"KCL-Kuching",1
"HKB-Healy",1
"LYP-Faisalabad",1
"VLD-Valdosta",1
"SLM-Salamanca",1
"BCI-Barcaldine",1
"YDP-Nain",1
"KET-Kengtung",1
"OIM-Oshima",1
"BEJ-Tanjung Redep-Borneo Island",1
"KRP-Karup",1
"TMI-Tumling Tar",1
"FLG-Flagstaff",1
"PRA-Parana",1
"PTU-Port Moller",1
"TNC-Tin City",1
"BYO-Bointo",1
"JPR-Ji-Paraná",1
"YUB-Toronto",1
"OMR-Oradea",1
"VBV-Vanua Balavu",1
"VPY-Chimoio",1
"ANS-Andahuaylas",1
"NLD-Nuevo Laredo",1
"UST-St. Augustine Airport",1
"CGI-Cape Girardeau",1
"SLX-Salt Cay",1
"SHM-Nanki-shirahama",1
"GOP-Gorakhpur",1
"UYU-Uyuni",1
"CIC-Chico",1
"KAJ-Kajaani",1
"MXV-Muren",1
"TUR-Tucurui",1
"RJL-Logroño-Agoncillo",1
"IOA-Ioannina",1
"NVK-Narvik",1
"IAR-Yaroslavl",1
"MFU-Mfuwe",1
"AGX-Agatti Island",1
"CPD-Coober Pedy",1
"SCK-Stockton",1
"LAW-Lawton",1
"BMW-Bordj Badji Mokhtar",1
"CKH-Chokurdah",1
"VLY-Angelsey",1
"TRR-Trinciomalee",1
"DPO-Devonport",1
"YBR-Brandon",1
"SPB-Charlotte Amalie",1
"PYH-Puerto Ayacucho",1
"YFS-Fort Simpson",1
"SVL-Savonlinna",1
"PNA-Pamplona",1
"BAY-Baia Mare",1
"DBQ-Dubuque IA",1
"BSO-Basco",1
"WSZ-Westport",1
"AUG-Augusta",1
"ESD-Eastsound",1
"UIP-Quimper",1
"TKD-Takoradi",1
"NTX-Ranai-Natuna Besar Island",1
"PKA-Napaskiak",1
"PDS-Piedras Negras",1
"TMT-Oriximina",1
"JOE-Joensuu",1
"APF-Naples",1
"KRY-Karamay",1
"HVD-Khovd",1
"SRA-Santa Rosa",1
"TTJ-Tottori",1
"TWF-Twin Falls",1
"KGC-Kingscote",1
"PSJ-Poso",1
"CDR-Chadron",1
"CMX-Hancock",1
"RTA-Rotuma",1
"MEC-Manta",1
"PRC-Prescott",1
"ILY-Islay",1
"NLG-Nelson Lagoon",1
"NGE-N'gaoundere",1
"BJB-Bojnourd",1
"LTO-Loreto",1
"PWE-Pevek",1
"BIM-Alice Town",1
"PBD-Porbandar",1
"AVV-Avalon",1
"ONJ-Odate Noshiro",1
"BFF-Scottsbluff",1
"ABI-Abilene",1
"LUW-Luwuk",1
"SYQ-San Jose",1
"ABR-Aberdeen",1
"CZS-Cruzeiro do Sul",1
"MTM-Metakatla",1
"ABY-Albany",1
"SSB-Salvador",1
"CAH-Ca Mau",1
"CAL-Campbeltown",1
"KQA-Akutan",1
"CXH-Vancouver",1
"VIS-Visalia",1
"HNM-Hana",1
"TXK-Texarkana",1
"KSO-Kastoria",1
"ISE-Isparta",1
"SCZ-Santa Cruz/Graciosa Bay/Luova",1
"MMH-Mammoth Lakes",1
"SFL-Sao Filipe, Fogo Island",1
"FUT-Futuna Island",1
"GWL-Gwalior",1
"EMD-Emerald",1
"TEB-Teterboro",1
"LMN-Limbang",1
"RCB-Richard's Bay",1
"KKE-Kerikeri",1
"HDN-Hayden",1
"SJI-San Jose",1
"IFJ-Isafjordur",1
"ZSE-St.-pierre",1
"LKB-Lakeba Island",1
"ACU-Waco",1
"GUC-Gunnison",1
"JOS-Jos",1
"LUD-Luderitz",1
"PVC-Provincetown",1
"PLO-Port Lincoln",1
"DRK-Puntarenas",1
"EKO-Elko",1
"CBO-Cotabato",1
"IWJ-Iwami",1
"DIN-Dienbienphu",1
"TCO-Tumaco",1
"OGL-Georgetown",1
"AUC-Arauca",1
"YFJ-Wekweeti",1
"CJM-Chumphon",1
"EAT-Wenatchee",1
"JSR-Jessore",1
"HYG-Hydaburg",1
"HTN-Hotan",1
"SDP-Sand Point",1
"ODY-Muang Xay",1
"DIJ-Dijon",1
"HVN-New Haven",1
"WNA-Napakiak",1
"EGE-Vail",1
"KAE-Kaduna",1
"HGN-Mae Hong Son",1
"PUE-Puerto Obaldia",1
"CYP-Calbayog City",1
"LPD-La Pedrera",1
"BKQ-Blackall",1
"CSG-Columbus",1
"BQK-Brunswick",1
"WLK-Selawik",1
"SVZ-San Antonio",1
"GCW-Grand Canyon",1
"THU-Thule",1
"ROO-Rondonopolis",1
"ATA-Anta",1
"OAL-Cacoal",1
"AQA-Araracuara",1
"PPV-Papeete",1
"CXF-Cox's Bazar",1
"GFN-Grafton",1
"NST-Nakhon Si Thammarat",1
"FUN-Funafuti",1
"CBH-Béchar",1
"ARW-Arad",1
"CHX-Changuinola",1
"TNN-Tainan",1
"WRL-Worland",1
"LAZ-Bom Jesus Da Lapa",1
"ULO-Ulaangom",1
"LEC-Lençóis",1
"GCN-Grand Canyon",1
"BVH-Vilhena",1
"ETR-Santa Rosa",1
"CNM-Carlsbad",1
"KOP-Nakhon Phanom",1
"XKH-Phon Savan",1
"BDP-Chandragarhi",1
"KYP-Kyaukpyu",1
"IBA-Ibadan",1
"MCV-McArthur River Mine",1
"PES-Petrozavodsk",1
"MBT-Masbate",1
"QUO-Uyo",1
"AAX-Araxa",1
"AKK-Akhiok",1
"BZO-Bolzano",1
"GGW-Glasgow",1
"AIA-Alliance",1
"PIH-Pocatello",1
"YKM-Yakima",1
"RIB-Riberalta",1
"RUS-Marau",1
"JNX-Cyclades Islands",1
"OGZ-Beslan",1
"TBT-Tabatinga",1
"TKE-Takoradi",1
"BLD-Barcelona",1
"FLA-Florencia",1
"XGR-Hamburg",1
"RVN-Rovaniemi",1
"TCB-Treasure Cay",1
"YLL-Whatì",1
"ZQZ-Zweibruecken",1
"RJH-Rajshahi",1
"PAV-Paulo Alfonso",1
"PPN-Popayan",1
"TEQ-Çorlu",1
"MYW-Mtwara",1
"SYB-Sao Felix do Xingu",1
"URG-Uruguaiana",1
"MSL-Muscle Shoals",1
"ERN-Eirunepe",1
"PRI-Praslin",1
"SKO-Sokoto",1
"SJT-San Angelo",1
"YYF-Penticton",1
"CTC-Catamarca",1
"GPI-Guapi",1
"LPS-Lopez",1
"YUS-Yushu",1
"RXS-Roxas City",1
"TCR-Tacna",1
"CIX-Chiclayo",1
"OTD-Namsos",1
"MCM-McCook",1
"BPT-Beaumont",1
"MWA-Marion",1
"AJR-Arvidsjaur",1
"TAG-Tagbilaran",1
"FRD-Friday Harbor",1
"AYP-Ayacucho",1
"ZDY-Temuco",1
"RHD-Rio Hondo",1
"SYM-Simao",1
"RAH-Rafha",1
"VIN-Vinnitsa",1
